commit	val_acc	memory_gb	status	description
e6d79c1	12.956811	3.2	keep	baseline (original NSD script)
7548290	24.326000	3.3	keep	starting point from mar24: depth=4, latent=512, dropout=0.5, label_smooth=0.1, val checkpointing
d18325c	24.511000	3.3	keep	dropout 0.5->0.2
49bf468	24.363000	3.3	discard	dropout 0.0 (worse than 0.2)
430bf09	23.477000	3.3	discard	LR 3e-3 + warmdown 0.3
33089e3	24.326000	3.3	discard	remove label_smoothing (mildly worse)
07e718c	24.142000	3.3	discard	DEPTH 4->6 (slower per step)
527ed89	23.736000	3.5	discard	LATENT_DIM 512->768 (wider hurts)
3b2da8a	23.496000	3.4	discard	4x FFN expansion (too slow per step)
d70b428	23.846000	3.3	discard	input noise aug std=0.1
58eb9ce	24.252000	3.3	discard	WEIGHT_DECAY 0.1->0.01
3407750	24.234000	3.3	discard	BATCH_SIZE 256->512
1774fda	23.311000	3.3	discard	BATCH_SIZE 256->128
f6d9ece	24.234000	3.4	discard	SiLU activation
6bd3bb3	24.326000	3.3	discard	mixup alpha=0.4
d002b8c	22.130000	3.4	discard	MuonAdamW optimizer (lr not tuned)
db067e7	23.902000	3.3	discard	BatchNorm1d instead of LayerNorm
cdab106	24.474000	7.5	discard	per-voxel normalization (VRAM 3.3->7.5 GB)
e50824d	24.363000	3.3	discard	DROPOUT 0.1 (worse than 0.2)
47b9be5	23.311000	3.3	discard	DEPTH 4->3
7ef492b	24.363000	3.3	discard	add LR warmdown 0.3
74b61a2	24.511000	3.3	discard	zero-init last residual linear (tied, more complex)
6eca2e8	21.632000	3.4	discard	input->output linear skip (harmful)
3c7564a	24.492000	3.3	discard	zero WD on biases/LN (marginal)
9df73f8	24.677000	3.3	keep	input voxel masking 15% drop rate
7f38c8a	24.308000	3.3	discard	masking 30% (too aggressive)
1305f82	24.603000	3.3	discard	masking 10% (slightly worse than 15%)
cb04dbc	23.994000	3.3	discard	LR 2e-3 with masking
bcb703f	24.640000	3.3	discard	Adam beta2 0.999->0.95
ffb844e	24.732000	3.3	keep	Adam beta1 0.9->0.95
f815eb2	24.659000	3.3	discard	WD 0.1->0.05
cc05136	24.677000	3.3	discard	WD 0.1->0.2
c31a2c3	24.788000	3.3	keep	DEPTH 4->5
3bf4699	25.378000	3.3	keep	DEPTH 5->6
00f4630	25.157000	3.4	discard	DEPTH 6->7
0f6a59b	25.083000	3.5	discard	LATENT_DIM 512->640
d5601c7	24.252000	3.4	discard	LATENT_DIM 512->384
72776ba	25.748000	3.4	keep	DROPOUT 0.2->0.1 for depth=6
46eda61	25.157000	3.4	discard	DROPOUT 0.0 for depth=6
9905d7b	25.563000	3.4	discard	masking 15%->20%
9da9ec7	25.563000	3.4	discard	remove label_smoothing
79380d4	25.563000	3.4	discard	label_smoothing 0.2
038d7fb	25.397000	3.4	discard	remove LR warmup
19e16ba	25.766000	3.4	discard	gradient clipping 1.0 (marginal +0.02%)
3177e08	25.600000	3.4	discard	bfloat16 autocast (less precision hurts)
5b11465	25.618000	3.4	discard	LR 1.5e-3
0e61607	13.603000	3.4	discard	EMA averaging (broken)
aab073f	25.341000	3.4	discard	DROPOUT 0.15
f7e5d22	24.419000	3.4	discard	WARMUP_RATIO 0.10
b68f329	25.434000	3.4	discard	stochastic depth 0->0.1
2439c9c	25.748000	3.4	discard	WARMDOWN_RATIO 0.1 (tied)
52692cc	25.766000	3.4	keep	Adam beta1 0.95->0.98
9f558ed	25.840000	3.4	keep	Adam beta1 0.98->0.99
6f52d8d	26.375000	3.4	keep	Adam beta1 0.99->0.999
106e2ba	26.209000	3.4	discard	Adam beta1 0.9999 (too slow)
758152c	26.246000	3.4	discard	DEPTH 7 with beta1=0.999
73b1d3b	26.357000	3.4	discard	DEPTH 8 with beta1=0.999
